runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784454697958_45172c324330d8,2026-07-19T09:51:37.958Z,2026-07-19T09:51:37.958Z,classic_bridge,architecture_comparison,architecture_burst_10000,0,70.10237503051758,1,10000,70.10237503051758,70.10237503051758,10000,70.10237503051758,One deterministic merge call over 10000 CRDT entries
run_1784454698527_b86911736cb918,2026-07-19T09:51:38.527Z,2026-07-19T09:51:38.527Z,turbo_module,architecture_comparison,architecture_burst_10000,0,89.2664999961853,1,10000,89.2664999961853,89.2664999961853,10000,89.2664999961853,One deterministic merge call over 10000 CRDT entries
run_1784454699006_142828081ab879,2026-07-19T09:51:39.006Z,2026-07-19T09:51:39.006Z,turbo_module,architecture_comparison,architecture_burst_5000,0,67.73295903205872,1,5000,67.73295903205872,67.73295903205872,5000,67.73295903205872,One deterministic merge call over 5000 CRDT entries
run_1784454699461_d639cd090b4a5,2026-07-19T09:51:39.461Z,2026-07-19T09:51:39.461Z,turbo_module,architecture_comparison,architecture_burst_1000,0,40.10379195213318,1,1000,40.10379195213318,40.10379195213318,1000,40.10379195213318,One deterministic merge call over 1000 CRDT entries
run_1784454704813_360ade7274a81e,2026-07-19T09:51:44.813Z,2026-07-19T09:51:44.813Z,turbo_module,architecture_comparison,architecture_burst_1000,0,31.63362491130829,1,1000,31.63362491130829,31.63362491130829,1000,31.63362491130829,One deterministic merge call over 1000 CRDT entries
run_1784454705771_09494116dd714b8,2026-07-19T09:51:45.771Z,2026-07-19T09:51:45.771Z,turbo_module,architecture_comparison,architecture_burst_5000,0,66.53549993038177,1,5000,66.53549993038177,66.53549993038177,5000,66.53549993038177,One deterministic merge call over 5000 CRDT entries
run_1784454706361_7f4726311df95c,2026-07-19T09:51:46.361Z,2026-07-19T09:51:46.361Z,turbo_module,architecture_comparison,architecture_burst_10000,0,89.93658304214478,1,10000,89.93658304214478,89.93658304214478,10000,89.93658304214478,One deterministic merge call over 10000 CRDT entries
run_1784454707042_7bcb3a34906b3c,2026-07-19T09:51:47.042Z,2026-07-19T09:51:47.042Z,classic_bridge,architecture_comparison,architecture_burst_1000,0,37.524165987968445,1,1000,37.524165987968445,37.524165987968445,1000,37.524165987968445,One deterministic merge call over 1000 CRDT entries
run_1784454707642_c963b0401a7aa,2026-07-19T09:51:47.642Z,2026-07-19T09:51:47.642Z,classic_bridge,architecture_comparison,architecture_burst_5000,0,54.94816696643829,1,5000,54.94816696643829,54.94816696643829,5000,54.94816696643829,One deterministic merge call over 5000 CRDT entries
run_1784454708276_dc67c0aa355668,2026-07-19T09:51:48.276Z,2026-07-19T09:51:48.276Z,classic_bridge,architecture_comparison,architecture_burst_10000,0,71.99891602993011,1,10000,71.99891602993011,71.99891602993011,10000,71.99891602993011,One deterministic merge call over 10000 CRDT entries
run_1784454708896_2486612210d60c,2026-07-19T09:51:48.896Z,2026-07-19T09:51:48.896Z,js,architecture_comparison,architecture_burst_1000,0,8.442708015441895,1,1000,8.442708015441895,8.442708015441895,1000,8.442708015441895,One deterministic merge call over 1000 CRDT entries
run_1784454709582_c184e3b490a89,2026-07-19T09:51:49.582Z,2026-07-19T09:51:49.582Z,js,architecture_comparison,architecture_burst_5000,0,27.93008303642273,1,5000,27.93008303642273,27.93008303642273,5000,27.93008303642273,One deterministic merge call over 5000 CRDT entries
run_1784454710146_df156d71ae62e8,2026-07-19T09:51:50.146Z,2026-07-19T09:51:50.146Z,js,architecture_comparison,architecture_burst_10000,0,41.85391592979431,1,10000,41.85391592979431,41.85391592979431,10000,41.85391592979431,One deterministic merge call over 10000 CRDT entries
